price,views per hour,link,condition,shipping,import charges,sale type,model,capacity,color
85.6674,372,https://www.ebay.ca/itm/293175567896?epid=228434721&_trkparms=ispr%3D1&hash=item4442a02618:g:ktIAAOSwDZ1bKBjp&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS%252Fwocn770hnih0B3mVHNZ5EK343xmjjoMAUrOpw3ucUsy04%252FjVDHa%252BZGWiyfuRRUBjtyKs6gvvBFlajejF1MdR75Fm%252BY2Uw0598er8FZIah8MiBLrlOcufx1CXw%252F1AzTvLm0BwQpAcN3S8pKa1q7BPUuUS1PlloGq0udfibGEVJ3Qm25dCZo5GcHGNXYC3OCSJiHEBN1c067ucDAj0mxot%252BEXlj15FymS99sJUmjqJ8%252B%252FSd0oC2xLy4vap4g4UTgcRsWkQ7%252BqVM8Vchj6w0%252FAZ%252BPc%252F4p2co4JjH%252FTzO6bXLto0A8V1XdYmgVlziarUHuwlDIBesGJ6%252BINKcDgBD38CHK4flk%252BX%252FaeIz0MCQFNMOnovFA4C41RuZS00vTSnLwv6GGVOWbk4yb6qn4McsIQFyXsIr7BrNevvA%252BaKeSbyYBMztpVbG6vSnf0tqlxSwgPCh0d1%252Bj7t3uSh9JTnRLoIUuHi6iOShCPYrgsgRVsEVBSDPDnn3YOz13%252BESHehIYdajHwaevYF%252Bclleyek%252BvGTYeo6F6zBvN9zKyuyEyKDiVqfeXCigQB95YqWS33HQmY1mKkNth6DOUxZLVSww9bflYLPeV5zO0kD%252FKq786I%252B2%252F75pK%252FOmIBjxFJ3aDE%252BavOI8a7uQPJlvATqC7KpLtkMWG%252F9sQACVq0%252FRQ6y0uZiHDbiyvIJQgBP58XHeOEtcCdWdTRjSBNVZt%252Bo615m1EoTlzPJxVfiFPep9CMAdA33ilR01V2pBgTplhW98ySgBQQs4rYKlCi%252Fvq7E49886JXok5IEuic0jjSWTjh8FqNr6qQXTynR05YIhInxe7PgyZt%7Campid%3APL_CLK%7Cclp%3A2334524,1,12.851999999999999,16.4934,1,8,0,
428.3874,4,https://www.ebay.ca/itm/184164112312?epid=239161003&hash=item2ae10957b8:g:RzgAAOSwcjdfX5Us,1,62.9874,0.0,1,18,64,"Space Gray, Silver"
217.35,-1,https://www.ebay.ca/itm/114921545651?hash=item1ac1db9fb3:g:hIkAAOSwtf9hCw13,1,15.359399999999999,34.4232,0,18,64,See color
-1.0,-1,https://www.ebay.ca/itm/313629046175?hash=item4905bf759f:g:8awAAOSwLcFhC-Kj,1,-1.0,0.0,0,21,64,
405.0,-1,https://www.ebay.ca/itm/284233972374?epid=239093115&hash=item422daa3a96:g:IRAAAOSwrGVgXiVP,1,0.0,0.0,1,18,64,Gray
-1.0,-1,https://www.ebay.ca/itm/274893825566?epid=220206811&hash=item4000f2e61e:g:bEQAAOSwOTthDSTz,1,-1.0,0.0,0,-1,64,
409.5,45,https://www.ebay.ca/itm/184987751827?hash=item2b12211593:g:oUsAAOSw0WthD0zm,1,20.286,60.5682,1,18,64,Space Gray
399.99,-1,https://www.ebay.ca/itm/274890268683?epid=239086479&hash=item4000bca00b:g:YLkAAOSwBDRgFOPg,1,24.99,0.0,0,18,64,Gray
196.5474,-1,https://www.ebay.ca/itm/294009188287?epid=239164928&_trkparms=ispr%3D1&hash=item4474502fbf:g:yNsAAOSwCx5bxLpA&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS%252Fwocn770hnih0B3mVHNZ5I05wk8VWbqh6nEvxiiUwrLEfjUZi%252FPhdGxN2TaqoWDi%252BFl1cfweaD1PRqNFhaidybTHC4xT60PfGO5eEXIQx5IZcR12xLBUZbRR4GCaa5IgJQUegEdK7o8pkRFeaFIG7FFej2veN38RHQMslIeJ4oTdTnvnyf6WVBrqXnILSXlql%252BLAjjdsdsrfybOry9PJbpMQ8MLX%252BfFSkF2UjTkYxLvbwDBzbntzFJeQV9gq8hpKmco9OWLXEsOBrvtyECjIeAkFTLxYlmLN7mrCgx6wSQdvGSTFwNYGlgoLVKInSMonNT4nSu00DftIbOW8XkkvamIAjag6zWmGhyLR7EM0vFXG0vIiC9TYSq3GcLrk6VGNc1qi1IVQ8VGf6%252FUmUu%252BePu4visLIjbvRF9kI8WxdodL7YREHhRViWYeLy8UQnmB2OcK0YcllTilEhhLtJP1t0MTevD6sa8dVwLOGW7QgNWy0ja%252BOoZRhA3uaUPW9e5Y7zA7DXhiA1jGiXh7WFvnOvQ1VZk2rQEYEcvXrVuiBFmjNNnhb42UzKX9d%252BgAyigPVl6d2%252FccXypDffOytFYWZfmn%252BP9oUnq3h%252BVeCYs4eUcXKiGnDAIIg4nDNrkxyKU8aPVagJZLbNe%252B47H47oRw2fK5oMIaNUUv5zdc4%252F%252BgtPL5pFCMr24NkZM1Ydmb%252B7vdnGNyAGod2QzaIhsGhF2xDwxg6we2BvkqpXOXeQ5%252FjfRX102BiT8zgjEvfBnaOgpbVaKDUzBFf3aIJ2ph1LbsC3fgOqzAclS1s36eSA9Tj0lLWP%252BhggIFOua%252Bv9xKE9WOq%7Campid%3APL_CLK%7Cclp%3A2334524,1,16.002,30.0384,1,14,0,
579.5874,7,https://www.ebay.ca/itm/153689878264?epid=23034344272&_trkparms=ispr%3D1&hash=item23c8a16ef8:g:TogAAOSwvAJfX6G5&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsStEKTPzZMfQmny3knR97t0CTtP4w7B%252BFO0bkr%252BVIi0%252BGDa5fv1s2MhYbdy9%252BNGdhx0BWiGuOnzSzfEHCbd1LJ%252BKwCzKWr33oC530SpZOSNe9npx8ZnMMxwWu%252BemBoKq3FspV%252FBD3skx068FsoC7EamPQnAlfiiHEYULy0EJs%252FSwSeBJQT9Z%252B0Jh8sNJAk3T5FrrC6wilGBM%252FczdN14pU9nEnTNl2eAsQNxvF6TcrflDpbuuvzJnvMnydyYiQK0j3eVhXnEVPPBb%252BgmeXugcLbEuR2sO%252ForWDBE%252F%252BVPOf%252FZWOhcTQ2NTTEw6Cgt2mQxcZFfpTh4PH65jWScnPPI5GoSmo05dYBR92i9yfDkbxL1nbKNGdkSHWsMaGg3WOq4zl4UGTvpd3hsV7BlqbGqMYa263cIfXWFohwxM84oO55VUqaP5bosh%252BsWOveMwoBdv1i57G220Jqqkml22jf%252BnaCuXlSDPwhptO4Lr6yTxhgLOL1aGtb4sVYYp10dVzSnw%252FoJDIslIhUL8sGxEfd3J47W9fTHy5w%252B6pLVxOnbsMEhhE05TXjLPJQ24QRTohfA3vU3ctFfVpBjDaKi2kxL7bfkSV6yD3%252FmCZx4XYH2wIzQ9rAX%252BkuLtdyn0na6BB9wM%252BX0Bs8VGhyWvfC5odByT7P%252B9erDYq7OUcHMIMmoBQK74rOhp2rer0Z1FE1K42K7aKFTRMVFr21nPtur4vkVDaGZ0RVFs%252BgEQ02hDWjSsdCRaWMa6UzxWTvEXeo4fsdalDeNs14wU2StRRd6kwU0eKg3O2pjEBy3kPnzoP7rKVazxZTz2GQkuD3qCk3CmyTdl0%252F%7Campid%3APL_CLK%7Cclp%3A2334524,1,69.3,0.0,1,20,64,"Space Gray, Silver, Gold"
